Ticker,Start,End,Period,Threshold
AAPL,2024-12-01,2024-12-16,,5.0
Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,EMA12,EMA26,MACD,Signal_Line,Moving_Average
237.27000427246094,240.7899932861328,237.16000366210938,239.58999633789062,48137100,0.0,0.0,,239.58999633789062,239.58999633789062,0.0,0.0,
239.80999755859375,242.75999450683594,238.89999389648438,242.64999389648438,38861000,0.0,0.0,,240.0607651930589,239.81666282371236,0.2441023693465354,0.04882047386930708,
242.8699951171875,244.11000061035156,241.25,243.00999450683594,44383900,0.0,0.0,,240.51449277979384,240.05320591135114,0.4612868684426985,0.13131375278398538,
243.99000549316406,244.5399932861328,242.1300048828125,243.0399932861328,40033900,0.0,0.0,,240.9030313192306,240.2744494205942,0.6285818986363836,0.23076738195446506,
242.91000366210938,244.6300048828125,242.0800018310547,242.83999633789062,36870600,0.0,0.0,,241.20102593748595,240.46448993298654,0.7365360044994134,0.33192110646345474,242.2259948730469
241.8300018310547,247.24000549316406,241.75,246.75,44649200,0.0,0.0,,242.05471425479578,240.93008327128382,1.1246309835119632,0.49046308187315646,243.65799560546876
246.88999938964844,248.2100067138672,245.33999633789062,247.77000427246094,36914800,0.0,0.0,,242.93398964212886,241.43674408618583,1.4972455559430387,0.6918195766871329,244.68199768066407
247.9600067138672,250.8000030517578,246.25999450683594,246.49000549316406,45205800,0.0,0.0,,243.48106900382658,241.81105974596198,1.6700092578645922,0.8874575129226248,245.37799987792968
246.88999938964844,248.74000549316406,245.67999267578125,247.9600067138672,32777500,0.0,0.0,,244.17013634383284,242.26653729914014,1.9035990446926974,1.0906858192766393,246.36200256347655
247.82000732421875,249.2899932861328,246.24000549316406,248.1300048828125,33132000,0.0,0.0,,244.77934688829123,242.70086823126402,2.0784786570272047,1.2882443868267526,247.42000427246094
